0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
10000,9485,9041,8514,8008,7571,6925,6557,6006,5416,4991,4599,4026,3452,2987,2515,1944,1564,1046,513
9561,8922,8251,7777,7110,6506,5852,5469,4725,4101,3688,3212,2615,2102,1741,1370,918,672,340,122
439,563,790,737,898,1065,1073,1088,1281,1315,1303,1387,1411,1350,1246,1145,1026,892,706,391
