,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
no. of -usrsybil,0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0
(pre_5)eigen.csv,0.9501,0.9466526093832367,0.9378387346532463,0.9466760629551327,0.9416833166833167,0.9280147932901862,0.9272202166064982,0.9298459661430533,0.9004329004329005,0.8910635155096012,0.8767782007613705,0.8504022613611655,0.8132141082960755,0.7928736964078795,0.7532641446267158,0.7017892644135189,0.6244855967078189,0.532608695652174,0.381453154875717,0.253411306042885
(pre_5)block.csv,0.9576,0.9485503426462836,0.9446963831434576,0.9418604651162791,0.9396853146853147,0.9307885352001056,0.9364620938628159,0.9325911239896294,0.8979353979353979,0.8954948301329394,0.8691644960929673,0.8567079799956512,0.8211624441132638,0.7824449594438007,0.7338466688985604,0.7001988071570576,0.6003086419753086,0.48721227621483376,0.38910133843212236,0.19883040935672514
(pre_5)none.csv,0.9562,0.9121771217712177,0.8669394978431589,0.8181818181818182,0.7837162837162838,0.7267203803988905,0.675812274368231,0.655025163946927,0.5829170829170829,0.5522525849335302,0.48627529553195753,0.44031311154598823,0.37928464977645304,0.3369061413673233,0.306662202879143,0.2699801192842942,0.19444444444444445,0.17838874680306904,0.0965583173996176,0.06237816764132553
(pre_5)tnasl.csv,0.9561,0.9406431207169215,0.912620285366663,0.91343669250646,0.8878621378621379,0.8593316602826575,0.8450541516245488,0.8340704590513954,0.7867132867132867,0.7572008862629247,0.7389300741334401,0.6984126984126984,0.6495280675608545,0.6089223638470452,0.5828590559089387,0.5447316103379721,0.4722222222222222,0.4296675191815857,0.32504780114722753,0.2378167641325536
(pre_5)zheya.csv,0.9579,0.9377965208223511,0.9137263577037938,0.893117218698614,0.8864885114885115,0.8498216880200766,0.8244043321299639,0.8113466524325149,0.7644022644022644,0.7435376661742984,0.7014626327389301,0.6560121765601218,0.6082960755091903,0.5764774044032445,0.5219283562102444,0.48628230616302187,0.3950617283950617,0.3343989769820972,0.25334608030592737,0.17543859649122806
