0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
10000,9485,9041,8514,8008,7571,6925,6557,6006,5416,4991,4599,4026,3452,2987,2515,1944,1564,1046,513
9562,8652,7838,6966,6276,5502,4680,4295,3501,2991,2427,2025,1527,1163,916,679,378,279,101,32
438,833,1203,1548,1732,2069,2245,2262,2505,2425,2564,2574,2499,2289,2071,1836,1566,1285,945,481
