0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
10000,9485,9041,8514,8008,7571,6925,6557,6006,5416,4991,4599,4026,3452,2987,2515,1944,1564,1046,513
9576,8997,8541,8019,7525,7047,6485,6115,5393,4850,4338,3940,3306,2701,2192,1761,1167,762,407,102
424,488,500,495,483,524,440,442,613,566,653,659,720,751,795,754,777,802,639,411
