0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
10000,9485,9041,8514,8008,7571,6925,6557,6006,5416,4991,4599,4026,3452,2987,2515,1944,1564,1046,513
9501,8979,8479,8060,7541,7026,6421,6097,5408,4826,4376,3911,3274,2737,2250,1765,1214,833,399,130
499,506,562,454,467,545,504,460,598,590,615,688,752,715,737,750,730,731,647,383
